"","Order","Family","Genus","Species","MDD_SciName"
"1","Monotremata","Ornithorhynchidae","Ornithorhynchus","anatinus","Ornithorhynchus anatinus"
"2","Monotremata","Tachyglossidae","Tachyglossus","aculeatus","Tachyglossus aculeatus"
"3","Monotremata","Tachyglossidae","Zaglossus","attenboroughi","Zaglossus attenboroughi"
"4","Monotremata","Tachyglossidae","Zaglossus","bartoni","Zaglossus bartoni"
"5","Monotremata","Tachyglossidae","Zaglossus","bruijnii","Zaglossus bruijnii"
"6","Paucituberculata","Caenolestidae","Caenolestes","caniventer","Caenolestes caniventer"
"7","Paucituberculata","Caenolestidae","Caenolestes","condorensis","Caenolestes condorensis"
"8","Paucituberculata","Caenolestidae","Caenolestes","convelatus","Caenolestes convelatus"
"9","Paucituberculata","Caenolestidae","Caenolestes","fuliginosus","Caenolestes fuliginosus"
"10","Paucituberculata","Caenolestidae","Caenolestes","sangay","Caenolestes sangay"
"11","Paucituberculata","Caenolestidae","Lestoros","inca","Lestoros inca"
"12","Paucituberculata","Caenolestidae","Rhyncholestes","raphanurus","Rhyncholestes raphanurus"
"13","Didelphimorphia","Didelphidae","Caluromys","derbianus","Caluromys derbianus"
"14","Didelphimorphia","Didelphidae","Caluromys","lanatus","Caluromys lanatus"
"15","Didelphimorphia","Didelphidae","Caluromys","philander","Caluromys philander"
"16","Didelphimorphia","Didelphidae","Caluromysiops","irrupta","Caluromysiops irrupta"
"17","Didelphimorphia","Didelphidae","Chironectes","minimus","Chironectes minimus"
"18","Didelphimorphia","Didelphidae","Didelphis","albiventris","Didelphis albiventris"
"19","Didelphimorphia","Didelphidae","Didelphis","aurita","Didelphis aurita"
"20","Didelphimorphia","Didelphidae","Didelphis","imperfecta","Didelphis imperfecta"
"21","Didelphimorphia","Didelphidae","Didelphis","marsupialis","Didelphis marsupialis"
"22","Didelphimorphia","Didelphidae","Didelphis","pernigra","Didelphis pernigra"
"23","Didelphimorphia","Didelphidae","Didelphis","virginiana","Didelphis virginiana"
"24","Didelphimorphia","Didelphidae","Lutreolina","crassicaudata","Lutreolina crassicaudata"
"25","Didelphimorphia","Didelphidae","Lutreolina","massoia","Lutreolina massoia"
"26","Didelphimorphia","Didelphidae","Philander","andersoni","Philander andersoni"
"27","Didelphimorphia","Didelphidae","Philander","canus","Philander canus"
"28","Didelphimorphia","Didelphidae","Philander","deltae","Philander deltae"
"29","Didelphimorphia","Didelphidae","Philander","mcilhennyi","Philander mcilhennyi"
"30","Didelphimorphia","Didelphidae","Philander","melanurus","Philander melanurus"
"31","Didelphimorphia","Didelphidae","Philander","nigratus","Philander nigratus"
"32","Didelphimorphia","Didelphidae","Philander","opossum","Philander opossum"
"33","Didelphimorphia","Didelphidae","Philander","pebas","Philander pebas"
"34","Didelphimorphia","Didelphidae","Philander","quica","Philander quica"
"35","Didelphimorphia","Didelphidae","Philander","vossi","Philander vossi"
"36","Didelphimorphia","Didelphidae","Marmosa","alstoni","Marmosa alstoni"
"37","Didelphimorphia","Didelphidae","Marmosa","andersoni","Marmosa andersoni"
"38","Didelphimorphia","Didelphidae","Marmosa","constantiae","Marmosa constantiae"
"39","Didelphimorphia","Didelphidae","Marmosa","demerarae","Marmosa demerarae"
"40","Didelphimorphia","Didelphidae","Marmosa","germana","Marmosa germana"
"41","Didelphimorphia","Didelphidae","Marmosa","isthmica","Marmosa isthmica"
"42","Didelphimorphia","Didelphidae","Marmosa","lepida","Marmosa lepida"
"43","Didelphimorphia","Didelphidae","Marmosa","limae","Marmosa limae"
"44","Didelphimorphia","Didelphidae","Marmosa","macrotarsus","Marmosa macrotarsus"
"45","Didelphimorphia","Didelphidae","Marmosa","meridae","Marmosa meridae"
"46","Didelphimorphia","Didelphidae","Marmosa","mexicana","Marmosa mexicana"
"47","Didelphimorphia","Didelphidae","Marmosa","murina","Marmosa murina"
"48","Didelphimorphia","Didelphidae","Marmosa","paraguayana","Marmosa paraguayana"
"49","Didelphimorphia","Didelphidae","Marmosa","parda","Marmosa parda"
"50","Didelphimorphia","Didelphidae","Marmosa","perplexa","Marmosa perplexa"
"51","Didelphimorphia","Didelphidae","Marmosa","phaea","Marmosa phaea"
"52","Didelphimorphia","Didelphidae","Marmosa","rapposa","Marmosa rapposa"
"53","Didelphimorphia","Didelphidae","Marmosa","robinsoni","Marmosa robinsoni"
"54","Didelphimorphia","Didelphidae","Marmosa","rubra","Marmosa rubra"
"55","Didelphimorphia","Didelphidae","Marmosa","rutteri","Marmosa rutteri"
"56","Didelphimorphia","Didelphidae","Marmosa","simonsi","Marmosa simonsi"
"57","Didelphimorphia","Didelphidae","Marmosa","tyleriana","Marmosa tyleriana"
